id,issue_name,issue_dt,cover,issue,,,,,,,,1468,1290
1145,№ 18 (38),2000-09-01 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1145/issue.pdf,,,,,,,,,
1414,№ 19 (39),2000-09-15 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1414/issue.pdf,,,,,,,,,
1198,№ 20 (40),2000-09-29 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1198/issue.pdf,,,,,,,,,
1306,№ 21 (41),2000-10-13 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1306/issue.pdf,,,,,,,,,
1252,№ 22 (42),2000-10-27 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1252/issue.pdf,,,,,,,,,
1338,№ 23 (43),2000-11-10 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1338/issue.pdf,,,,,,,,,
1351,№ 24 (44),2000-11-24 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1351/issue.pdf,,,,,,,,,
1245,№ 25 (45),2000-12-08 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1245/issue.pdf,,,,,,,,,
1291,№ 26 (46),2000-12-22 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1291/issue.pdf,,,,,,,,,
1181,№ 1 (47),2001-01-19 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1181/issue.pdf,,,,,,,,,
1155,№ 2 (48),2001-02-02 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1155/issue.pdf,,,,,,,,,
1447,№ 3 (49),2001-02-16 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1447/issue.pdf,,,,,,,,,
1180,№ 4 (50),2001-03-02 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1180/issue.pdf,,,,,,,,,
1281,№ 5 (51),2001-03-16 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1281/issue.pdf,,,,,,,,,
1219,№ 6 (52),2001-03-30 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1219/issue.pdf,,,,,,,,,
1327,№ 7 (53),2001-04-13 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1327/issue.pdf,,,,,,,,,
1154,№ 8 (54),2001-04-27 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1154/issue.pdf,,,,,,,,,
1407,№ 9 (55),2001-05-11 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1407/issue.pdf,,,,,,,,,
1189,№ 10 (56),2001-05-25 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1189/issue.pdf,,,,,,,,,
